UF = 11 - Rondônia
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;Fundamental Completo;63;36;10;24;40;39;74;0;0;286;63;36;10;24;40;39;74;0;0;286
;Mestrado;2;0;0;0;0;0;7;0;0;9;2;0;0;0;0;0;7;0;0;9
;Médio Completo;1481;635;528;752;744;916;1178;0;0;6234;1481;635;528;752;744;916;1178;0;0;6234
;Médio Incompleto;72;33;15;45;49;81;72;0;0;367;72;33;15;45;49;81;72;0;0;367
;Superior Completo;285;179;153;298;224;220;442;0;0;1801;285;179;153;298;224;220;442;0;0;1801
;Superior Incompleto;131;62;40;46;57;63;98;0;0;497;131;62;40;46;57;63;98;0;0;497
2020;Total;2103;1123;747;1307;1279;1867;1997;0;0;10423;2103;1123;747;1307;1279;1867;1997;0;0;10423
;5ª Completo Fundamental;12;8;5;9;8;22;28;0;0;92;12;8;5;9;8;22;28;0;0;92
;6ª a 9ª Fundamental;27;9;18;23;26;19;52;0;0;174;27;9;18;23;26;19;52;0;0;174
;Analfabeto;3;2;2;8;1;2;0;0;0;18;3;2;2;8;1;2;0;0;0;18
;Até 5ª Incompleto;16;8;7;4;17;19;12;0;0;83;16;8;7;4;17;19;12;0;0;83
;Doutorado;0;0;0;1;7;0;2;0;0;10;0;0;0;1;7;0;2;0;0;10
;Fundamental Completo;51;31;22;46;44;49;64;0;0;307;51;31;22;46;44;49;64;0;0;307
;Mestrado;2;0;0;0;0;0;7;0;0;9;2;0;0;0;0;0;7;0;0;9
;Médio Completo;1473;746;473;784;846;1284;1208;0;0;6814;1473;746;473;784;846;1284;1208;0;0;6814
;Médio Incompleto;69;28;26;43;59;76;61;0;0;362;69;28;26;43;59;76;61;0;0;362
;Superior Completo;299;216;161;339;216;312;479;0;0;2022;299;216;161;339;216;312;479;0;0;2022
;Superior Incompleto;151;75;33;50;55;84;84;0;0;532;151;75;33;50;55;84;84;0;0;532
2021;Total;2343;1231;862;1323;1572;1388;1860;510;0;11089;2343;1231;862;1323;1572;1388;1860;510;0;11089
;5ª Completo Fundamental;12;12;3;12;8;27;35;0;0;109;12;12;3;12;8;27;35;0;0;109
;6ª a 9ª Fundamental;24;13;15;24;30;28;49;1;0;184;24;13;15;24;30;28;49;1;0;184
;Analfabeto;4;1;1;13;1;1;0;0;0;21;4;1;1;13;1;1;0;0;0;21
;Até 5ª Incompleto;17;8;5;5;21;22;17;0;0;95;17;8;5;5;21;22;17;0;0;95
;Doutorado;1;0;0;1;7;0;0;0;0;9;1;0;0;1;7;0;0;0;0;9
;Fundamental Completo;54;28;26;37;77;48;55;10;0;335;54;28;26;37;77;48;55;10;0;335
;Mestrado;2;1;0;1;0;0;0;0;0;4;2;1;0;1;0;0;0;0;0;4
;Médio Completo;1696;786;512;790;1074;929;1084;325;0;7196;1696;786;512;790;1074;929;1084;325;0;7196
;Médio Incompleto;84;35;20;50;74;61;74;5;0;403;84;35;20;50;74;61;74;5;0;403
;Superior Completo;299;263;225;328;227;238;444;162;0;2186;299;263;225;328;227;238;444;162;0;2186
;Superior Incompleto;150;84;55;62;53;34;102;7;0;547;150;84;55;62;53;34;102;7;0;547
Total;Total;13924;6797;5538;8095;7948;10860;13195;510;0;66867;13924;6797;5538;8095;7948;10860;13195;510;0;66867
;5ª Completo Fundamental;79;54;31;78;63;179;230;0;0;714;79;54;31;78;63;179;230;0;0;714
;6ª a 9ª Fundamental;192;110;139;189;180;152;549;1;0;1512;192;110;139;189;180;152;549;1;0;1512
;Analfabeto;11;15;5;22;3;6;6;0;0;68;11;15;5;22;3;6;6;0;0;68
;Até 5ª Incompleto;92;45;44;35;79;119;101;0;0;515;92;45;44;35;79;119;101;0;0;515
;Doutorado;1;0;0;3;45;3;14;0;0;66;1;0;0;3;45;3;14;0;0;66
;Fundamental Completo;371;198;136;300;369;359;508;10;0;2251;371;198;136;300;369;359;508;10;0;2251
;Mestrado;8;3;0;1;4;0;48;0;0;64;8;3;0;1;4;0;48;0;0;64
;Médio Completo;10182;4533;3624;5081;5049;7420;8010;325;0;44224;10182;4533;3624;5081;5049;7420;8010;325;0;44224
;Médio Incompleto;607;218;156;295;393;507;566;5;0;2747;607;218;156;295;393;507;566;5;0;2747
;Superior Completo;1538;1188;1135;1776;1376;1767;2573;162;0;11515;1538;1188;1135;1776;1376;1767;2573;162;0;11515
;Superior Incompleto;843;433;268;315;387;348;590;7;0;3191;843;433;268;315;387;348;590;7;0;3191
UF = 12 - Acre
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;411;181;291;196;179;119;462;1110;1894;4843;411;181;291;196;179;119;462;1110;1894;4843
;5ª Completo Fundamental;7;6;7;0;2;2;0;6;1;31;7;6;7;0;2;2;0;6;1;31
;6ª a 9ª Fundamental;0;3;4;4;6;0;13;78;3;111;0;3;4;4;6;0;13;78;3;111
;Analfabeto;1;0;1;1;1;1;0;1;0;6;1;0;1;1;1;1;0;1;0;6
;Até 5ª Incompleto;0;1;1;2;8;5;1;22;1;41;0;1;1;2;8;5;1;22;1;41
;Fundamental Completo;6;10;6;5;12;8;22;50;285;404;6;10;6;5;12;8;22;50;285;404
;Mestrado;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;3;0;3
;Médio Completo;336;136;171;143;90;21;320;506;1022;2745;336;136;171;143;90;21;320;506;1022;2745
;Médio Incompleto;6;4;8;3;12;13;22;81;29;178;6;4;8;3;12;13;22;81;29;178
;Superior Completo;30;14;82;24;41;35;79;327;551;1183;30;14;82;24;41;35;79;327;551;1183
;Superior Incompleto;25;7;11;14;7;34;5;36;2;141;25;7;11;14;7;34;5;36;2;141
2016;Total;393;208;242;263;185;102;964;584;1800;4741;393;208;242;263;185;102;964;584;1800;4741
;5ª Completo Fundamental;4;7;6;1;3;2;0;6;1;30;4;7;6;1;3;2;0;6;1;30
;6ª a 9ª Fundamental;0;3;4;4;4;0;65;15;4;99;0;3;4;4;4;0;65;15;4;99
;Analfabeto;1;0;1;1;1;2;0;1;0;7;1;0;1;1;1;2;0;1;0;7
;Até 5ª Incompleto;1;1;1;2;9;5;7;13;0;39;1;1;1;2;9;5;7;13;0;39
;Doutorado;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1
;Fundamental Completo;7;8;8;3;12;8;48;19;269;382;7;8;8;3;12;8;48;19;269;382
;Mestrado;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;1;1;0;2
;Médio Completo;319;156;154;157;90;15;506;328;966;2691;319;156;154;157;90;15;506;328;966;2691
;Médio Incompleto;3;4;6;6;8;5;25;57;26;140;3;4;6;6;8;5;25;57;26;140
;Superior Completo;35;23;51;67;51;61;287;130;532;1237;35;23;51;67;51;61;287;130;532;1237
;Superior Incompleto;23;6;11;22;7;4;24;14;2;113;23;6;11;22;7;4;24;14;2;113
2017;Total;412;204;263;300;157;100;859;625;1480;4400;412;204;263;300;157;100;859;625;1480;4400
;5ª Completo Fundamental;4;7;4;1;6;0;0;5;1;28;4;7;4;1;6;0;0;5;1;28
;6ª a 9ª Fundamental;0;4;3;5;0;0;64;17;3;96;0;4;3;5;0;0;64;17;3;96
;Analfabeto;0;0;0;2;1;0;0;1;0;4;0;0;0;2;1;0;0;1;0;4
;Até 5ª Incompleto;1;1;0;16;4;0;3;12;0;37;1;1;0;16;4;0;3;12;0;37
;Fundamental Completo;8;7;6;12;7;1;44;19;231;335;8;7;6;12;7;1;44;19;231;335
;Mestrado;0;0;0;0;0;0;2;1;1;4;0;0;0;0;0;0;2;1;1;4
;Médio Completo;336;129;158;175;58;41;476;354;775;2502;336;129;158;175;58;41;476;354;775;2502
;Médio Incompleto;5;6;7;7;7;9;23;59;17;140;5;6;7;7;7;9;23;59;17;140
;Superior Completo;37;39;76;58;55;39;229;142;449;1124;37;39;76;58;55;39;229;142;449;1124
;Superior Incompleto;21;11;9;24;19;10;18;15;3;130;21;11;9;24;19;10;18;15;3;130
2018;Total;457;197;318;242;219;104;752;691;1157;4137;457;197;318;242;219;104;752;691;1157;4137
;5ª Completo Fundamental;8;4;5;0;7;0;0;3;1;28;8;4;5;0;7;0;0;3;1;28
;6ª a 9ª Fundamental;2;3;3;2;2;1;59;16;3;91;2;3;3;2;2;1;59;16;3;91
;Analfabeto;0;0;0;1;1;0;0;1;0;3;0;0;0;1;1;0;0;1;0;3
;Até 5ª Incompleto;0;1;0;3;19;0;3;9;0;35;0;1;0;3;19;0;3;9;0;35
;Fundamental Completo;7;5;7;4;15;1;42;20;191;292;7;5;7;4;15;1;42;20;191;292
;Mestrado;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1
;Médio Completo;363;134;164;161;77;44;427;387;598;2355;363;134;164;161;77;44;427;387;598;2355
;Médio Incompleto;5;7;9;2;11;5;20;66;2;127;5;7;9;2;11;5;20;66;2;127
;Superior Completo;55;32;114;46;65;40;188;172;360;1072;55;32;114;46;65;40;188;172;360;1072
;Superior Incompleto;17;11;16;23;22;13;13;16;2;133;17;11;16;23;22;13;13;16;2;133
2019;Total;518;210;263;420;241;107;791;769;1043;4362;518;210;263;420;241;107;791;769;1043;4362
;5ª Completo Fundamental;6;4;4;2;4;0;0;4;1;25;6;4;4;2;4;0;0;4;1;25
;6ª a 9ª Fundamental;0;2;6;2;1;0;53;15;3;82;0;2;6;2;1;0;53;15;3;82
;Analfabeto;0;0;0;2;0;0;0;1;0;3;0;0;0;2;0;0;0;1;0;3
;Até 5ª Incompleto;1;2;0;15;6;0;4;10;0;38;1;2;0;15;6;0;4;10;0;38
;Fundamental Completo;5;13;5;16;9;1;41;23;179;292;5;13;5;16;9;1;41;23;179;292
;Mestrado;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1
;Médio Completo;393;135;133;237;116;41;441;437;556;2489;393;135;133;237;116;41;441;437;556;2489
;Médio Incompleto;4;1;5;9;8;7;12;50;2;98;4;1;5;9;8;7;12;50;2;98
;Superior Completo;88;46;92;99;84;42;225;203;301;1180;88;46;92;99;84;42;225;203;301;1180
;Superior Incompleto;21;7;18;38;13;16;15;25;1;154;21;7;18;38;13;16;15;25;1;154
2020;Total;553;214;279;442;137;389;340;2389;0;4743;553;214;279;442;137;389;340;2389;0;4743
;5ª Completo Fundamental;4;4;5;1;3;9;0;6;0;32;4;4;5;1;3;9;0;6;0;32
;6ª a 9ª Fundamental;0;2;5;1;3;8;43;29;0;91;0;2;5;1;3;8;43;29;0;91
;Analfabeto;0;0;0;1;1;2;0;1;0;5;0;0;0;1;1;2;0;1;0;5
;Até 5ª Incompleto;2;1;1;1;18;4;2;13;0;42;2;1;1;1;18;4;2;13;0;42
;Fundamental Completo;7;8;4;9;14;102;17;212;0;373;7;8;4;9;14;102;17;212;0;373
;Mestrado;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1
;Médio Completo;412;127;149;268;26;132;144;1342;0;2600;412;127;149;268;26;132;144;1342;0;2600
;Médio Incompleto;5;1;6;4;7;7;3;61;0;94;5;1;6;4;7;7;3;61;0;94
;Superior Completo;99;57;89;126;50;108;124;692;0;1345;99;57;89;126;50;108;124;692;0;1345
;Superior Incompleto;24;14;20;31;15;17;7;32;0;160;24;14;20;31;15;17;7;32;0;160
2021;Total;592;220;358;531;277;303;353;2365;0;4999;592;220;358;531;277;303;353;2365;0;4999
;5ª Completo Fundamental;2;3;5;1;4;9;0;10;0;34;2;3;5;1;4;9;0;10;0;34
;6ª a 9ª Fundamental;0;2;3;3;4;6;39;26;0;83;0;2;3;3;4;6;39;26;0;83
;Analfabeto;0;0;0;2;0;2;0;1;0;5;0;0;0;2;0;2;0;1;0;5
;Até 5ª Incompleto;2;2;2;10;9;2;2;13;0;42;2;2;2;10;9;2;2;13;0;42
;Fundamental Completo;12;8;6;14;34;97;18;144;0;333;12;8;6;14;34;97;18;144;0;333
;Mestrado;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1
;Médio Completo;429;148;198;280;129;83;152;1394;0;2813;429;148;198;280;129;83;152;1394;0;2813
;Médio Incompleto;6;1;6;10;7;8;4;73;0;115;6;1;6;10;7;8;4;73;0;115
;Superior Completo;112;46;108;172;78;79;130;664;0;1389;112;46;108;172;78;79;130;664;0;1389
;Superior Incompleto;29;10;30;39;12;17;8;39;0;184;29;10;30;39;12;17;8;39;0;184
Total;Total;3336;1434;2014;2394;1395;1224;4521;8533;7374;32225;3336;1434;2014;2394;1395;1224;4521;8533;7374;32225
;5ª Completo Fundamental;35;35;36;6;29;22;0;40;5;208;35;35;36;6;29;22;0;40;5;208
;6ª a 9ª Fundamental;2;19;28;21;20;15;336;196;16;653;2;19;28;21;20;15;336;196;16;653
;Analfabeto;2;0;2;10;5;7;0;7;0;33;2;0;2;10;5;7;0;7;0;33
;Até 5ª Incompleto;7;9;5;49;73;16;22;92;1;274;7;9;5;49;73;16;22;92;1;274
;Doutorado;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1
;Fundamental Completo;52;59;42;63;103;218;232;487;1155;2411;52;59;42;63;103;218;232;487;1155;2411
;Mestrado;0;0;0;0;0;0;3;9;1;13;0;0;0;0;0;0;3;9;1;13
;Médio Completo;2588;965;1127;1421;586;377;2466;4748;3917;18195;2588;965;1127;1421;586;377;2466;4748;3917;18195
;Médio Incompleto;34;24;47;41;60;54;109;447;76;892;34;24;47;41;60;54;109;447;76;892
;Superior Completo;456;257;612;592;424;404;1262;2330;2193;8530;456;257;612;592;424;404;1262;2330;2193;8530
;Superior Incompleto;160;66;115;191;95;111;90;177;10;1015;160;66;115;191;95;111;90;177;10;1015
UF = 13 - Amazonas
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;1398;710;551;846;476;2193;2023;4005;3420;15622;1398;710;551;846;476;2193;2023;4005;3420;15622
;5ª Completo Fundamental;4;4;2;1;3;6;5;28;0;53;4;4;2;1;3;6;5;28;0;53
;6ª a 9ª Fundamental;23;7;6;10;7;36;47;68;3;207;23;7;6;10;7;36;47;68;3;207
;Analfabeto;2;0;1;0;0;5;0;0;0;8;2;0;1;0;0;5;0;0;0;8
;Até 5ª Incompleto;8;1;2;6;5;10;24;19;1;76;8;1;2;6;5;10;24;19;1;76
;Doutorado;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;1;1;0;0;2
;Fundamental Completo;41;24;22;10;16;63;50;107;5;338;41;24;22;10;16;63;50;107;5;338
;Mestrado;1;5;0;1;0;3;0;2;17;29;1;5;0;1;0;3;0;2;17;29
;Médio Completo;1069;483;371;593;304;1526;1295;2510;2842;10993;1069;483;371;593;304;1526;1295;2510;2842;10993
;Médio Incompleto;46;23;9;24;25;96;65;149;30;467;46;23;9;24;25;96;65;149;30;467
;Superior Completo;110;106;98;152;67;310;414;916;393;2566;110;106;98;152;67;310;414;916;393;2566
;Superior Incompleto;94;57;40;49;49;137;122;206;129;883;94;57;40;49;49;137;122;206;129;883
2016;Total;1471;718;687;972;885;2664;1883;5574;0;14854;1471;718;687;972;885;2664;1883;5574;0;14854
;5ª Completo Fundamental;2;3;1;3;5;5;4;19;0;42;2;3;1;3;5;5;4;19;0;42
;6ª a 9ª Fundamental;17;6;8;10;13;48;35;44;0;181;17;6;8;10;13;48;35;44;0;181
;Analfabeto;1;1;0;1;0;3;0;0;0;6;1;1;0;1;0;3;0;0;0;6
;Até 5ª Incompleto;6;3;2;3;5;12;27;15;0;73;6;3;2;3;5;12;27;15;0;73
;Doutorado;3;0;0;0;0;1;1;1;0;6;3;0;0;0;0;1;1;1;0;6
;Fundamental Completo;41;24;18;10;32;57;45;109;0;336;41;24;18;10;32;57;45;109;0;336
;Mestrado;2;3;0;4;1;2;2;1;0;15;2;3;0;4;1;2;2;1;0;15
;Médio Completo;1091;507;444;649;544;1920;1130;3772;0;10057;1091;507;444;649;544;1920;1130;3772;0;10057
;Médio Incompleto;58;21;16;21;31;91;75;129;0;442;58;21;16;21;31;91;75;129;0;442
;Superior Completo;141;107;143;196;196;406;462;1228;0;2879;141;107;143;196;196;406;462;1228;0;2879
;Superior Incompleto;109;43;55;75;58;119;102;256;0;817;109;43;55;75;58;119;102;256;0;817
2017;Total;1562;766;806;777;1109;2347;3208;6164;0;16739;1562;766;806;777;1109;2347;3208;6164;0;16739
;5ª Completo Fundamental;1;3;2;2;6;3;8;12;0;37;1;3;2;2;6;3;8;12;0;37
;6ª a 9ª Fundamental;20;7;5;10;19;22;32;52;0;167;20;7;5;10;19;22;32;52;0;167
;Analfabeto;1;1;1;1;0;3;0;0;0;7;1;1;1;1;0;3;0;0;0;7
;Até 5ª Incompleto;6;1;1;2;3;6;23;21;0;63;6;1;1;2;3;6;23;21;0;63
;Doutorado;0;1;0;0;0;1;1;3;0;6;0;1;0;0;0;1;1;3;0;6
;Fundamental Completo;54;19;8;6;32;43;110;109;0;381;54;19;8;6;32;43;110;109;0;381
;Mestrado;1;0;0;4;1;5;0;4;0;15;1;0;0;4;1;5;0;4;0;15
;Médio Completo;1175;520;517;508;714;1551;2317;4108;0;11410;1175;520;517;508;714;1551;2317;4108;0;11410
;Médio Incompleto;52;16;17;13;30;49;70;167;0;414;52;16;17;13;30;49;70;167;0;414
;Superior Completo;157;152;178;185;212;533;524;1428;0;3369;157;152;178;185;212;533;524;1428;0;3369
;Superior Incompleto;95;46;77;46;92;131;123;260;0;870;95;46;77;46;92;131;123;260;0;870
2018;Total;1488;853;861;797;877;2231;3710;5118;2101;18036;1488;853;861;797;877;2231;3710;5118;2101;18036
;5ª Completo Fundamental;3;2;3;1;7;1;2;14;1;34;3;2;3;1;7;1;2;14;1;34
;6ª a 9ª Fundamental;11;6;2;9;18;16;22;125;8;217;11;6;2;9;18;16;22;125;8;217
;Analfabeto;0;1;0;0;1;1;0;0;0;3;0;1;0;0;1;1;0;0;0;3
;Até 5ª Incompleto;5;1;4;0;3;2;11;24;6;56;5;1;4;0;3;2;11;24;6;56
;Doutorado;0;0;0;0;0;1;1;5;1;8;0;0;0;0;0;1;1;5;1;8
;Fundamental Completo;41;18;6;13;15;41;86;211;28;459;41;18;6;13;15;41;86;211;28;459
;Mestrado;0;2;0;3;0;13;0;6;3;27;0;2;0;3;0;13;0;6;3;27
;Médio Completo;1107;603;570;520;549;1518;2781;3175;1496;12319;1107;603;570;520;549;1518;2781;3175;1496;12319
;Médio Incompleto;36;17;23;8;23;40;70;96;41;354;36;17;23;8;23;40;70;96;41;354
